document_uid,mentions
DOC_8cc85576ae0297a3b96f,7.0
DOC_6ab05cb47cd452600306,5.0
DOC_f08701564b868b78c14e,5.0
DOC_b13da5c2c7cc7c391056,3.0
DOC_4c0768bd32aef460ceda,5.0
DOC_ebaf6cc975cfada78225,2.0
DOC_79531475584763a4f7d9,8.0
DOC_6d25dab94864fb8e8d3d,0.0
DOC_e579f04bd10d3479a76a,1.0
DOC_460ed2a9244f3106282f,2.0
DOC_7cb75ee46be4c070aff2,3.0
DOC_2bed8ee297192e145626,6.0
DOC_b0275ead3c07a2f758c9,6.0
DOC_f2f7d46c7c8da5d8a586,3.0
DOC_be3aff5ebdb81a02262d,3.0
DOC_4da1cbb7c78223d567c2,0.0
DOC_b871db46b40378e6fb4c,0.0
DOC_71bb87ca673623cc0cd7,4.0
DOC_8466a2df814ad998770d,1.0
DOC_b872ac290cd580ee4961,6.0
DOC_d5b6aafa965d96bd07e1,2.0
DOC_f72446a8f486bcf68b4a,3.0
DOC_593307b1837ab307a457,4.0
DOC_74d6584684ead7608e54,1.0
DOC_cc649e42ec827dc9d392,0.0
DOC_d59d9cd7bc907417b822,5.0
DOC_2ece8b5a61095ffad4c8,4.0
DOC_1854ca3720d84c7b2c2a,4.0
DOC_d5c6515cf76ca135c218,4.0
